FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,South Australia,Australia,2020-10-27 04:24:45,-34.9285,138.6007,494,4,478,12,"South Australia, Australia",28.124110446911477,0.8097165991902834
,,Tasmania,Australia,2020-10-27 04:24:45,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-10-27 04:24:45,-37.8136,144.9631,20341,817,19370,154,"Victoria, Australia",306.80704083017844,4.0165183619291085
,,Western Australia,Australia,2020-10-27 04:24:45,-31.9505,115.8605,762,9,700,53,"Western Australia, Australia",28.966775640538284,1.1811023622047243
,,Rondonia,Brazil,2020-10-27 04:24:45,-11.5057,-63.5806,70600,1442,60189,8969,"Rondonia, Brazil",3972.4851946152007,2.0424929178470257
,,Roraima,Brazil,2020-10-27 04:24:45,-2.7376,-62.0751,55951,691,48508,6752,"Roraima, Brazil",9236.481054409249,1.2350092044824936
,,Santa Catarina,Brazil,2020-10-27 04:24:45,-27.2423,-50.2189,247477,3041,213495,30941,"Santa Catarina, Brazil",3454.072890921546,1.2288010603005532
,,Sao Paulo,Brazil,2020-10-27 04:24:45,-23.5505,-46.6333,1092843,38753,908199,145891,"Sao Paulo, Brazil",2379.9338701461347,3.546072034134821
,,Sergipe,Brazil,2020-10-27 04:24:45,-10.5741,-37.3857,83863,2178,73030,8655,"Sergipe, Brazil",3648.285810737914,2.5970928776695326
,,Tocantins,Brazil,2020-10-27 04:24:45,-10.1753,-48.2982,74229,1084,55699,17446,"Tocantins, Brazil",4719.346721208292,1.4603456869956486
41063,Wallowa,Oregon,US,2020-10-27 04:24:45,45.57894064,-117.18353799999998,44,2,0,42,"Wallowa, Oregon, US",610.4328523862375,4.545454545454546
41065,Wasco,Oregon,US,2020-10-27 04:24:45,45.16292781,-121.1670954,347,15,0,332,"Wasco, Oregon, US",1300.5022112285435,4.322766570605188
41067,Washington,Oregon,US,2020-10-27 04:24:45,45.55972701,-123.0955257,5790,76,0,5714,"Washington, Oregon, US",962.4463091264513,1.3126079447322971
41069,Wheeler,Oregon,US,2020-10-27 04:24:45,44.72698162,-120.02814270000002,1,0,0,1,"Wheeler, Oregon, US",75.07507507507508,0.0
41071,Yamhill,Oregon,US,2020-10-27 04:24:45,45.23330449,-123.3086963,994,15,0,979,"Yamhill, Oregon, US",928.1045751633987,1.5090543259557343
42001,Adams,Pennsylvania,US,2020-10-27 04:24:45,39.87140411,-77.21610347,1100,27,0,1073,"Adams, Pennsylvania, US",1067.8678562067391,2.4545454545454546
42003,Allegheny,Pennsylvania,US,2020-10-27 04:24:45,40.46809875,-79.98167747,14995,407,0,14588,"Allegheny, Pennsylvania, US",1233.0958147108042,2.7142380793597867
42005,Armstrong,Pennsylvania,US,2020-10-27 04:24:45,40.81665618,-79.46290811,655,20,0,635,"Armstrong, Pennsylvania, US",1011.8174094384801,3.053435114503817
42007,Beaver,Pennsylvania,US,2020-10-27 04:24:45,40.6825484,-80.34921611,2246,140,0,2106,"Beaver, Pennsylvania, US",1370.105350487101,6.233303650934996
42009,Bedford,Pennsylvania,US,2020-10-27 04:24:45,40.00522157,-78.48998442,383,6,0,377,"Bedford, Pennsylvania, US",799.7828265953892,1.566579634464752
,,,"Korea, South",2020-10-27 04:24:45,35.90775700000001,127.766922,26043,460,23981,1602,"Korea, South",50.79659646614614,1.7663095649502745
